500;2;10
5;0;0;0;0;0;2;50;4
5;2;0;0;0;0;1,9;55;4
5;0;0;0;0;0;1,8;60;4
6;0;0;0;0;0;1,7;65;4
7;0;0;1;0;6;1,6;70;4
4;4;4;3;0;0;1,5;75;4
5;3;4;4;2;0;1,5;80;4
3;5;5;5;2;0;1,5;85;4
4;5;5;5;3;0;1,5;90;4
5;3;6;6;4;9;1,5;95;4
5;5;6;5;5;0;1,4;100;4,5
4;7;6;7;4;0;1,4;105;4,5
4;8;8;6;4;0;1,4;110;4,5
5;9;9;5;4;0;1,4;115;4,5
6;8;10;5;5;9;1,4;120;4,5
7;9;8;9;3;0;1,3;125;4,5
9;7;7;10;5;0;1,3;130;4,5
8;8;8;8;8;0;1,3;135;4,5
9;7;9;10;8;0;1,3;140;4,5
9;9;9;9;8;12;1,3;145;4,5
7;8;10;10;10;0;1,3;150;5
6;6;11;11;11;0;1,3;155;5
5;5;10;12;12;0;1,3;160;5
4;4;12;12;13;0;1,3;165;5
3;3;13;13;13;12;1,3;170;5
2;2;13;14;14;0;1,2;175;5
1;1;14;15;14;0;1,2;180;5
0;0;15;15;15;0;1,2;185;5
0;0;12;17;16;0;1,2;190;5
0;0;11;18;18;12;1,2;195;5
0;0;10;19;17;0;1,2;200;6
0;0;9;18;18;0;1,2;205;6
0;0;8;19;19;0;1,2;210;6
0;0;7;20;19;0;1,2;215;6
0;0;6;19;20;15;1,2;220;6
0;0;5;18;22;0;1,1;225;6
0;0;4;18;23;0;1,1;230;6
0;0;3;16;25;0;1,1;235;6
0;0;2;14;29;0;1,1;240;6
0;0;1;12;32;15;1,1;245;6
0;0;0;12;33;0;1,1;250;7
0;0;0;10;35;0;1,1;255;7
0;0;0;8;37;0;1,1;260;7
0;0;0;6;39;0;1,1;265;7
0;0;0;4;41;15;1,1;270;7
0;0;0;3;42;0;1,1;275;7
0;0;0;2;43;0;1,1;280;7
0;0;0;1;44;0;1,1;285;7
0;0;0;0;47;0;1,1;290;7
0;0;0;0;50;15;1,1;295;7
